Otu0001	Otu0003	Otu0004	Otu0005	Otu0006	Otu0007	Otu0008	Otu0009	Otu0010	Otu0011	Otu0012	Otu0013	Otu0018	Otu0019	Otu0021	Otu0022	Otu0023	Otu0024	Otu0025	Otu0026	Otu0027	Otu0028	Otu0031	Otu0032	Otu0035	Otu0036	Otu0037	Otu0038	Otu0040	Otu0041	Otu0042	Otu0043	Otu0044	Otu0045	Otu0046	Otu0047	Otu0048	Otu0049	Otu0050	Otu0051	Otu0052	Otu0053	Otu0054	Otu0055	Otu0056	Otu0057	Otu0058	Otu0059	Otu0060	Otu0061	Otu0062	Otu0063	Otu0064	Otu0065	Otu0066	Otu0067	Otu0068	Otu0069	Otu0070	Otu0071	Otu0072	Otu0073	Otu0074	Otu0075	Otu0076	Otu0077	Otu0078	Otu0079	Otu0080	Otu0081	Otu0082	Otu0083	Otu0084	Otu0085	Otu0086	Otu0087	Otu0088	Otu0089	Otu0090	Otu0091	Otu0092	Otu0093	Otu0094	Otu0095	Otu0096	Otu0097	Otu0098	Otu0099	Otu0100	Otu0101	Otu0102	Otu0103	Otu0104	Otu0105	Otu0106	Otu0107	Otu0108	Otu0109	Otu0110	Otu0111	Otu0112	Otu0113	Otu0114	Otu0115	Otu0116	Otu0117	Otu0118	Otu0119	Otu0120	Otu0121	Otu0122	Otu0123	Otu0124	Otu0125	Otu0126	Otu0127	Otu0128	Otu0129	Otu0130	Otu0131	Otu0132	Otu0133	Otu0134	Otu0135	Otu0136	Otu0137	Otu0138	Otu0139	Otu0140	Otu0141	Otu0142	Otu0143	Otu0144	Otu0145	Otu0146	Otu0147	Otu0148	Otu0149	Otu0150	Otu0151	Otu0152	Otu0153	Otu0154	Otu0155	Otu0156	Otu0157	Otu0158	Otu0159	Otu0160	Otu0161	Otu0162	Otu0163	Otu0164	Otu0165	Otu0166	Otu0167	Otu0168	Otu0169	Otu0170	Otu0171	Otu0172	Otu0173	Otu0174	Otu0175	Otu0176	Otu0177	Otu0178	Otu0179	Otu0180	Otu0181	Otu0182	Otu0183	Otu0184	Otu0185	Otu0186	Otu0187	Otu0188	Otu0189	Otu0190	Otu0191	Otu0192	Otu0193	Otu0194	Otu0195	Otu0196	Otu0197	Otu0198	Otu0199	Otu0200	Otu0201	Otu0202	Otu0203	Otu0204	Otu0205	Otu0206	Otu0207	Otu0208	Otu0209	Otu0210	Otu0211	Otu0212	Otu0213	Otu0214	Otu0215	Otu0216	Otu0217	Otu0218	Otu0219	Otu0220	Otu0221	Otu0222	Otu0223	Otu0224	Otu0225	Otu0226	Otu0227	Otu0228	Otu0229	Otu0230	Otu0231	Otu0232	Otu0233	Otu0234	Otu0235	Otu0236	Otu0237	Otu0238	Otu0239	Otu0240	Otu0241	Otu0242	Otu0243	Otu0244	Otu0245	Otu0246	Otu0247	Otu0248	Otu0249	Otu0250	Otu0251	Otu0252	Otu0253	Otu0254	Otu0255	Otu0256	Otu0257	Otu0258	Otu0259	Otu0260	Otu0261	Otu0262	Otu0263	Otu0264	Otu0265	Otu0266	Otu0267	Otu0268	Otu0269	Otu0270	Otu0271	Otu0272	Otu0273	Otu0274	Otu0275	Otu0276	Otu0277	Otu0278	Otu0279	Otu0280	Otu0281	Otu0282	Otu0283	Otu0285	Otu0286	Otu0287	Otu0288	Otu0289	Otu0290	Otu0291	Otu0292	Otu0293	Otu0294	Otu0295	Otu0296	Otu0297	Otu0298	Otu0299	Otu0300	Otu0301	Otu0302	Otu0303	Otu0304	Otu0305	Otu0306	Otu0307	Otu0308	Otu0309	Otu0310	Otu0311	Otu0312	Otu0313	Otu0314	Otu0316	Otu0317	Otu0318	Otu0319	Otu0320	Otu0321	Otu0322	Otu0323	Otu0324	Otu0325	Otu0326	Otu0327	Otu0328	Otu0329	Otu0330	Otu0331	Otu0332	Otu0333	Otu0334	Otu0335	Otu0337	Otu0338	Otu0339	Otu0340	Otu0342	Otu0343	Otu0344	Otu0345	Otu0346	Otu0347	Otu0348	Otu0349	Otu0350	Otu0351	Otu0352	Otu0353	Otu0354	Otu0355	Otu0356	Otu0357	Otu0358	Otu0359	Otu0360	Otu0361	Otu0362	Otu0363	Otu0364	Otu0365	Otu0366	Otu0367	Otu0368	Otu0369	Otu0370	Otu0371
4	9848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3	23560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
6	17510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6	7	3456	2983	3036	1920	0	1448	1180	1035	1125	795	3	6	673	678	571	0	447	668	450	293	3	202	5	265	356	297	528	0	189	389	252	447	371	0	170	274	356	475	285	173	220	149	280	238	106	561	187	14	226	176	328	33	104	159	185	155	175	230	53	4	86	84	171	395	174	141	123	154	4	226	181	157	104	145	146	0	97	134	120	126	2	162	159	106	115	180	144	74	86	19	117	110	82	114	122	112	118	144	96	97	95	107	55	130	101	107	40	56	67	111	86	81	85	167	84	39	116	74	84	0	65	72	58	99	84	69	75	105	83	82	21	58	116	65	0	0	51	37	103	54	79	139	96	72	66	124	35	56	27	94	57	6	2	77	31	82	68	32	70	60	44	79	60	49	42	53	58	71	56	41	48	101	52	54	56	50	55	47	34	51	71	97	25	38	47	25	57	67	48	60	39	91	33	66	38	38	42	18	40	43	29	37	49	2	43	37	42	43	61	6	106	54	54	18	36	38	33	29	45	53	57	0	62	52	41	31	28	22	44	48	68	25	40	28	44	33	47	19	13	44	36	0	28	50	13	37	31	40	15	33	30	23	6	17	49	82	55	3	34	80	31	23	0	8	42	23	20	38	54	32	43	14	32	20	22	38	31	34	38	21	0	18	19	11	25	43	31	25	32	32	19	41	26	25	25	16	29	24	36	9	40	27	22	40	36	40	23	22	21	15	41	25	24	27	17	25	18	21	32	14	13	20	14	13	20	3	23	10	18	21	31	30	16	19	23	23	25	33	33	14	26	29	0	21	9	27	19	27	13	26	22	27	1	18
46	11	2285	3275	2271	1687	0	1001	1117	823	807	791	3	766	425	674	615	0	440	351	463	627	11	301	225	282	265	288	161	0	102	304	259	258	137	786	243	259	119	110	155	282	152	245	153	171	342	0	123	523	155	89	51	237	406	117	262	121	78	161	204	0	228	103	113	38	147	196	49	111	26	133	105	69	63	104	82	0	102	97	92	68	0	105	84	33	91	70	54	117	100	31	95	137	167	65	54	85	70	74	79	99	43	72	46	46	48	47	80	115	84	56	67	48	72	11	74	147	40	63	94	0	102	58	70	39	67	59	44	34	56	55	112	56	38	92	83	0	87	102	53	87	57	0	37	34	54	32	45	45	41	24	48	87	99	39	104	43	40	50	31	33	38	22	40	43	47	20	66	28	64	57	14	26	46	35	42	47	29	61	31	36	42	15	76	42	27	52	44	23	33	31	27	25	59	20	54	30	36	52	36	40	19	27	17	107	35	61	59	34	23	63	0	21	22	52	16	33	50	31	22	27	23	100	19	33	30	37	34	41	19	23	12	11	14	35	29	20	31	41	25	22	18	56	34	17	36	12	19	22	46	20	22	28	56	16	16	0	18	1	24	0	24	30	0	46	19	27	19	20	21	25	5	42	21	21	16	11	21	15	19	42	70	21	16	47	22	10	17	12	17	14	26	22	35	16	29	50	26	24	19	29	17	21	15	1	10	8	23	28	18	38	4	19	11	18	12	15	19	21	12	21	19	10	31	28	26	21	15	25	18	23	13	9	18	9	17	10	11	7	8	25	13	7	0	14	35	10	21	19	12	11	6	14	42	13
2	0	2688	1173	2341	1250	0	694	742	962	716	526	1653	878	519	242	400	0	630	468	472	475	3	140	11	486	351	342	227	882	590	133	295	92	284	0	357	161	214	87	225	199	256	213	159	181	116	0	248	17	158	272	154	262	0	222	50	220	243	93	193	446	134	254	157	1	113	93	257	152	384	54	123	168	222	130	138	1	159	126	137	144	330	64	82	181	112	63	109	113	113	247	77	39	36	103	104	82	69	54	92	66	119	71	149	73	96	91	122	70	85	67	80	98	70	46	65	35	64	83	42	0	38	75	76	65	48	70	79	54	54	55	48	72	32	26	100	0	37	35	17	31	32	29	33	57	42	6	78	50	83	31	43	55	46	30	11	20	37	62	42	50	59	40	39	45	49	64	13	37	15	34	69	4	33	41	32	33	45	19	62	38	12	12	22	43	48	43	18	29	36	26	50	0	24	29	22	45	34	41	35	28	63	46	44	0	30	9	6	30	22	37	0	30	28	34	52	32	9	43	36	23	22	0	18	13	27	29	35	34	33	24	15	44	40	31	20	39	13	31	53	23	35	33	27	21	33	38	37	25	25	33	34	34	22	51	19	0	8	77	23	0	24	26	0	24	17	27	37	18	0	17	25	16	19	31	34	23	19	8	14	8	0	30	34	11	22	16	20	28	19	22	22	4	6	25	12	0	11	18	11	27	8	15	26	22	16	14	16	11	22	7	15	15	24	14	30	18	21	16	14	23	25	27	12	16	10	32	18	15	19	11	11	16	20	27	13	21	18	14	12	14	14	17	0	17	8	15	12	6	27	14	23	10	8	20
0	24	0	93	5	3	0	0	4	0	0	6	0	0	0	0	0	773	0	0	75	0	0	154	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	3	0	0	2	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	0	187	4	0	0	0	0	0	0	3	0	0	0	0	0	378	0	0	0	0	0	251	545	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45106	1	0	9	0	0	1360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
